ID,Count
18288,213.448365381899
18289,190.59980698196773
18290,167.58962736805898
18291,149.62475052734806
18292,138.0524776805755
18293,131.68586209996346
18294,130.73244994627555
18295,138.50227493961194
18296,158.3007033787247
18297,188.20115042553502
18298,219.2921578496005
18299,240.24838388579963
18300,245.0632399488405
18301,237.3347814520901
18302,227.1762284004413
18303,223.30383618943458
18304,227.07053398217414
18305,233.20761948417325
18306,235.79312222347428
18307,233.45193938414576
18308,229.1544543174236
18309,225.59556115825302
18310,221.36553189199591
18311,211.9355548367944
18312,194.3409254783458
18313,170.67638610504827
18314,146.8705999952158
18315,128.1336673904076
18316,115.81624256843872
18317,108.73491410033142
18318,107.10094708294125
18319,114.22827484402563
18320,133.4263364134061
18321,162.77278051831325
18322,193.3605262050103
18323,213.86873073771858
18324,218.2953995731533
18325,210.24324580335258
18326,199.83017495673695
18327,195.77711587696353
18328,199.44161541680117
18329,205.55948620040715
18330,208.21312005047923
18331,206.0315716918018
18332,201.98912344490012
18333,198.7842549979006
18334,195.01045527745418
18335,186.1417060958369
18336,169.2156192490534
18337,146.3287242315908
18338,123.41089308539615
18339,105.67281033124058
18340,94.46504798457669
18341,88.60340846525956
18342,88.29763478772537
18343,96.85937614757023
18344,117.5950057217119
18345,148.5783119196317
18346,180.89755358886407
18347,203.22643013332845
18348,209.5567016236234
18349,203.48406638986646
18350,195.11867210186497
18351,193.17298099107464
18352,198.99540684553762
18353,207.3120128032923
18354,212.1948822343715
18355,212.262266911024
18356,210.47722270011323
18357,209.52665627910673
18358,207.99221925397222
18359,201.33587862707023
18360,209.99557439290643
18361,189.3438473012131
18362,168.59795114864505
18363,152.95677188703047
18364,143.75937888051266
18365,139.81046392419643
18366,141.30914576896683
18367,151.55702730222885
18368,173.85110124940343
18369,206.25652470260576
18370,239.85375209813083
18371,263.3095767671553
18372,270.60981533441077
18373,265.3452417864376
18374,257.6221465305888
18375,256.1502405810692
18376,262.2763220230612
18377,270.72599342100233
18378,275.57204219071417
18379,275.4345879834018
18380,273.27970724595014
18381,271.79845852514006
18382,269.5777450481895
18383,262.0858437892974
18384,246.35558228900956
18385,224.479660012944
18386,202.38510044149842
18387,185.28074156532037
18388,174.51632456886142
18389,168.907843350078
18390,168.66625415774976
18391,177.10543342376997
18392,197.53498062950786
18393,228.03288751808114
18394,259.6925643077453
18395,281.1937740740225
18396,286.535210614074
18397,279.3203276556502
18398,269.6677957345173
18399,266.2993078596178
18400,270.5731520476219
18401,277.22584027515484
18402,280.34040668272917
18403,278.5464798230216
18404,274.81883978832326
18405,271.8563843564291
18406,268.2529411759453
18407,259.4827555977341
18408,242.5836356947776
18409,219.65225145370434
18410,196.61857441032973
18411,178.69336537458577
18412,167.22726991168918
18413,161.03618399704902
18414,160.3299888047764
18415,168.42054229260123
18416,188.61452392206849
18417,218.9861532465364
18418,250.62427236549405
18419,272.2033426978743
18420,277.7160906202896
18421,270.75940900594094
18422,261.4448901480122
18423,258.4867102959565
18424,263.23528300756993
18425,270.4189699579707
18426,274.1124611606943
18427,272.93692851550156
18428,269.85866267265584
18429,267.5681165481711
18430,264.65079174924125
18431,256.5727967984215
18432,208.23314033735946
18433,187.47416576633512
18434,166.62137258141053
18435,150.87364864040194
18436,141.57006520035475
18437,137.5153159354548
18438,138.90852146216542
18439,149.0512865206722
18440,171.24060567528318
18441,203.54163784379443
18442,237.03483927472845
18443,260.38700509851714
18444,267.5839537254259
18445,262.21646091442454
18446,254.39081883166924
18447,252.8167402365808
18448,258.84102494639416
18449,267.18927724371133
18450,271.9342862494934
18451,271.6961733065908
18452,269.44101653999877
18453,267.859876161425
18454,265.53965704811236
18455,257.9486378129063
18456,242.11964762023393
18457,220.14538754605604
18458,197.95288266886587
18459,180.7509725624144
18460,169.88939998116211
18461,164.18416037933042
18462,163.84621154910366
18463,172.18943145211495
18464,192.5234210854211
18465,222.9261736958266
18466,254.4911009899327
18467,275.89796751914673
18468,281.14546854282105
18469,273.83705923568914
18470,264.09141157032053
18471,260.6302199761898
18472,264.8117738786225
18473,271.37258664849685
18474,274.39569380725567
18475,272.51072527587826
18476,268.6924625001575
18477,265.63980459871505
18478,261.9465805475377
18479,253.08703701053398
18480,236.0989833617035
18481,213.07909087438782
18482,189.95733235786773
18483,171.94446988204027
18484,160.3911502590022
18485,154.11327069675633
18486,153.3207135891546
18487,161.32533810115027
18488,181.43382488702008
18489,211.7203946797549
18490,243.27389074512848
18491,264.76877565518055
18492,270.1977769264316
18493,263.15778855898606
18494,253.76040395842696
18495,250.71980047481185
18496,255.38639275236255
18497,262.4885435397199
18498,266.1009439104983
18499,264.8447668115584
18500,261.6863039268176
18501,259.31600919343026
18502,256.3193852261896
18503,248.16254154238317
18504,254.93779741612525
18505,232.70999027858045
18506,210.3636614935387
18507,193.102797398441
18508,182.27173252107576
18509,176.6805515713478
18510,176.5338537985169
18511,185.13876729352125
18512,205.79780957876815
18513,236.5816153069544
18514,268.5760212380356
18515,290.4530591942463
18516,296.2035918794942
18517,289.42319895281264
18518,280.22268933989255
18519,277.3159604800597
18520,282.05362228892653
